Ord_Fecha;Ord_Mesa;Ord_Propina;ID_mesa;ID_tipocliente
1/02/2014 18:43;1;0.07;7;1
30/01/2015 23:59;17;0.2;5;1
21/04/2014 19:12;1;0.09;3;1
9/01/2015 22:48;6;0.2;5;1
25/03/2014 21:21;2;0.16;9;2
3/06/2014 20:38;5;0.06;6;1
14/08/2014 16:33;4;0.17;3;1
31/08/2014 21:36;6;0.08;9;1
27/11/2014 15:50;2;0.13;8;1
28/12/2014 17:31;14;0.16;3;1
12/11/2014 15:36;9;0.07;1;1
7/07/2014 12:57;12;0.17;7;1
23/02/2014 19:26;12;0.15;7;1
24/01/2015 19:55;4;0.2;5;1
16/09/2014 13:40;10;0.17;8;2
12/11/2014 15:21;8;0.11;9;1
6/11/2014 23:02;2;0.13;1;1
15/08/2014 22:48;5;0.06;6;1
21/07/2014 15:36;14;0.08;9;2
31/03/2014 16:48;12;0.1;1;1
5/01/2015 13:40;16;0.07;4;1
21/04/2014 23:31;9;0.08;8;2
20/04/2014 23:31;17;0.15;2;1
20/07/2014 22:48;7;0.13;8;1
30/11/2014 18:57;13;0.05;8;1
23/12/2014 0:00;13;0.15;4;1
28/03/2014 20:38;7;0.05;3;1
26/07/2014 22:19;14;0.13;2;2
27/01/2015 22:48;3;0.12;2;1
18/06/2014 0:00;1;0.15;3;1
20/02/2014 17:16;1;0.06;3;1
29/11/2014 21:50;16;0.2;5;1
27/10/2014 14:38;13;0.05;3;2
10/12/2014 18:43;9;0.11;2;1
28/05/2014 12:57;7;0.06;9;2
6/04/2014 23:45;6;0.17;7;2
2/11/2014 14:09;8;0.09;1;2
6/04/2014 18:14;11;0.15;6;2
27/07/2014 21:36;10;0.14;6;1
7/10/2014 0:00;5;0.12;2;2
5/12/2014 23:45;16;0.2;5;1
3/11/2014 20:09;12;0.13;2;2
23/10/2014 21:07;6;0.17;6;1
20/05/2014 23:31;3;0.15;7;2
15/03/2014 21:36;5;0.12;4;2
7/04/2014 23:31;5;0.17;9;1
29/04/2014 23:45;2;0.16;6;1
26/03/2014 17:31;10;0.06;4;1
7/12/2014 14:38;10;0.16;8;1
10/10/2014 23:31;4;0.2;5;1
2/07/2014 18:14;13;0.05;6;1
26/07/2014 18:00;3;0.14;4;1
5/10/2014 17:31;10;0.11;2;1
22/06/2014 15:07;16;0.07;8;2
14/06/2014 22:04;14;0.09;7;2
11/08/2014 15:21;7;0.05;6;1
18/10/2014 22:04;7;0.2;5;1
28/07/2014 15:07;8;0.06;6;1
7/08/2014 15:21;4;0.11;9;1
23/10/2014 17:45;17;0.12;6;1
29/05/2014 21:50;5;0.06;4;1
10/02/2014 19:26;12;0.12;1;2
14/06/2014 20:09;3;0.17;4;1
9/09/2014 13:26;6;0.06;9;2
7/02/2014 18:57;4;0.14;1;2
11/10/2014 21:07;5;0.2;5;1
1/04/2014 19:55;4;0.14;8;2
13/12/2014 18:28;15;0.2;5;1
10/02/2014 18:43;13;0.13;1;2
5/03/2014 18:28;1;0.1;7;2
14/03/2014 19:26;13;0.12;9;2
